timeStamp,Material,TxPower,RTT,RSSI,matOrder,,TxPower,(All),,,,
575629,Water90Gelatin10,18,1,-36,3,,,,,,,
575834,Water90Gelatin10,6,1,-49,3,,,,,,,
576031,Water90Gelatin10,76,1,-30,3,,,,,,,
576237,Water90Gelatin10,70,1,-32,3,,,,,,,
576442,Water90Gelatin10,58,1,-35,3,,,,,,,
576648,Water90Gelatin10,50,1,-36,3,,,,,,,
576853,Water90Gelatin10,32,1,-43,3,,,,,,,
577058,Water90Gelatin10,26,1,-36,3,,,,,,,
577264,Water90Gelatin10,18,1,-35,3,,,,,,,
577469,Water90Gelatin10,6,1,-49,3,,,,,,,
577614,Water90Gelatin10,76,1,-49,3,,,,,,,
577883,Water90Gelatin10,70,1,-31,3,,,,,,,
578088,Water90Gelatin10,58,1,-35,3,,,,,,,
578294,Water90Gelatin10,50,2,-37,3,,,,,,,
578489,Water90Gelatin10,32,1,-42,3,,,,,,,
578695,Water90Gelatin10,26,2,-37,3,,,,,,,
578900,Water90Gelatin10,18,1,-36,3,,,,,,,
579106,Water90Gelatin10,6,1,-49,3,,,,,,,
579313,Water90Gelatin10,76,1,-30,3,,,,,,,
579519,Water90Gelatin10,70,2,-31,3,,,,,,,
579725,Water90Gelatin10,58,1,-35,3,,,,,,,
579930,Water90Gelatin10,50,1,-36,3,,,,,,,
580136,Water90Gelatin10,32,1,-41,3,,,,,,,
580342,Water90Gelatin10,26,2,-36,3,,,,,,,
580537,Water90Gelatin10,18,1,-36,3,,,,,,,
